date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:47	95279/95279	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Mar%202014%2013:09:44%20GMT	http://cdn.world-of-swiss.com/assets/image/d1180ccad67accb73163988df819265314471df1.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/assets/image/d1180ccad67accb73163988df819265314471df1f169.png	(from http://www.world-of-swiss.com/en)
14:37:49	26080/26080	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Aug%202014%2018:37:49%20GMT	http://www.world-of-swiss.com/en/swiss-over-the-alps	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/en/swiss-over-the-alps.html	(from http://www.world-of-swiss.com/en)
14:37:54	146398/146398	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jul%202014%2011:47:34%20GMT	http://cdn.world-of-swiss.com/assets/image/6ca7a9256d6d9a8ce9cfbab7e6ca3584c95e217a.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/assets/image/6ca7a9256d6d9a8ce9cfbab7e6ca3584c95e217af169.png	(from http://www.world-of-swiss.com/en)
14:37:56	56075/56075	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Aug%202014%2018:37:55%20GMT	http://www.world-of-swiss.com/en/the-swiss-cabins	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/en/the-swiss-cabins.html	(from http://www.world-of-swiss.com/en)
14:37:59	20080/20080	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Mar%202014%2013:23:15%20GMT	http://cdn.world-of-swiss.com/assets/image/f3b891639e771539981abdb0e5914c6a9f729a18.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/assets/image/f3b891639e771539981abdb0e5914c6a9f729a18f169.png	(from http://www.world-of-swiss.com/en)
14:38:00	163467/163467	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Mar%202014%2013:09:55%20GMT	http://cdn.world-of-swiss.com/assets/image/55c8c7f3cb35fdf39ed14d1b760ba6711e5e047e.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/assets/image/55c8c7f3cb35fdf39ed14d1b760ba6711e5e047ef169.png	(from http://www.world-of-swiss.com/en)
14:38:00	48441/48441	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Aug%202014%2018:38:01%20GMT	http://www.world-of-swiss.com/en/airbus-a340-300	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/en/airbus-a340-300.html	(from http://www.world-of-swiss.com/en)
14:38:01	171458/171458	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Mar%202014%2013:10:08%20GMT	http://cdn.world-of-swiss.com/assets/image/1c3599b982516faba9039e696b4733d67c2fb96a.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/assets/image/1c3599b982516faba9039e696b4733d67c2fb96af169.png	(from http://www.world-of-swiss.com/en)
14:38:02	39720/39720	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Aug%202014%2018:38:02%20GMT	http://www.world-of-swiss.com/en/airbus-a330-300	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/en/airbus-a330-300.html	(from http://www.world-of-swiss.com/en)
14:38:03	28167/28167	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Aug%202014%2018:38:04%20GMT	http://www.world-of-swiss.com/en/airbus-a321-111	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/en/airbus-a321-111.html	(from http://www.world-of-swiss.com/en)
